,review_id,business_id,stars,text,clean_text
0,z_VY1RNU2nWO6kaAVt28nw,kVI7NL59MPnYTx3Lg6PMTw,4,"great food. recommend the grilled shrimp app, white bean soup, brussels sprouts, risotto, and lamb. great wine selection and interesting cocktail menu. 

good service. friendly hostess and server. good wine presentation. nice outdoor seating. 

the fire pits outside are fabulous and offer something different. call ahead to reserve one. upscale ambience.",great food recommend grill shrimp app white bean soup brussel sprout risotto lamb great wine select interest cocktail menu good servic friendli hostess server good wine present nice outdoor seat fire pit outsid fabul offer someth differ call ahead reserv one upscal ambienc
1,iz89hnkkU5MXSvODiIKiaA,kVI7NL59MPnYTx3Lg6PMTw,4,"there is definitely a wow factor when you enter the restaurant from the hotel.  the dim lighting and decor is very classy and chic.  despite having a reservation and the restaurant not being very crowded, we had to wait about 10-15 minutes before being seated.  once seated, the waitstaff was very attentive and friendly.  our waiter knew the menu well and was able to provide suggestions based on what my friend and i were in the mood for.  because it was dine out boston, there was a pre-fixe menu to choose courses from for $38, with several items to add for an up-charge.  we started with the tuna tartar, which was nice and fresh, although had a ""different"" flavor to it which i could not pick up on and did not love.  the quail yoke on the tuna tartar was neat, but did not provide much flavor.  we also shared the porcini flatbread, which was thin and crispy with a subtle mushroom flavor-not too overbearing.  i had the scallop entree, which came with four large, nicely seared scallops over mashed cauliflower, with roasted cauliflower, broccoli and golden raisins.  this dish was delicious and not too heavy-the waiter steered me in the right direction!  my friend had the bolognese, which was a mix of veal and oxtail, served over home-made rigatoni.  this was also delicious, with right amount of sauce over the pasta and a nice portion size.  for dessert, we shared the tiramisu with dolce de leche gelato.  it was good- but i was hoping it would be better, seeing we were in the north end.  the bottom layer was overly moist and the top layers were quite dry.  overall, we had an enjoyable meal.  in the future, i'd like to eat outside as the seating is on the water.",definit wow factor enter restaur hotel dim light decor classi chic despit reserv restaur crowd wait 1015 minut seat seat waitstaff attent friendli waiter knew menu well abl provid suggest base friend mood dine boston prefix menu choos cours 38 sever item add upcharg start tuna tartar nice fresh although differ flavor could pick love quail yoke tuna tartar neat provid much flavor also share porcini flatbread thin crispi subtl mushroom flavornot overbear scallop entre came four larg nice sear scallop mash cauliflow roast cauliflow broccoli golden raisin dish delici heavyth waiter steer right direct friend bolognes mix veal oxtail serv homemad rigatoni also delici right amount sauc pasta nice portion size dessert share tiramisu dolc de lech gelato good hope would better see north end bottom layer overli moist top layer quit dri overal enjoy meal futur id like eat outsid seat water
2,T8vxPxV_0Nvh7T9G7zfE8A,eLrJdEYwxzJgddnqawDQ1g,5,"my boyfriend took me here the last time i was visiting him in the john's creek area. he told me it was his favorite restaurant, and i can see why! the food was delicious, and the service was wonderful. the prices were reasonable, and comparative to other italian restaurants. the portions were huge! in my opinion - a major plus. i got the ziti, and had enough left over for two more meals. it was the best ziti i've ever had! highly recommended.",boyfriend took last time visit john creek area told favorit restaur see food delici servic wonder price reason compar italian restaur portion huge opinion major plu got ziti enough left two meal best ziti ive ever highli recommend
3,LSvhBCb8q0tytFd1x4eB3A,kVI7NL59MPnYTx3Lg6PMTw,4,"food was great. 
service was great. 
bartender spilled a dark drink on my friends white pants (gasp!) but the manager immediately and without request came over and asked for her info in order to receive her dry cleaning bill.  super great customer service.  
though it's expensive you know what you're getting into when you go to the hotel.  i'll go back for sure!",food great servic great bartend spill dark drink friend white pant gasp manag immedi without request came ask info order receiv dri clean bill super great custom servic though expens know your get go hotel ill go back sure
4,Kv9VEmLpM285jD8SVVqUPw,kVI7NL59MPnYTx3Lg6PMTw,1,"we went for afternoon tea and pasties on sunday... we had called earlier that week for reservations. upon arriving they had no reservations for us in their system. we waited about 5 minutes while the hostess ""was checking""  all along 4-5 empty tables existed. we were seated for a good 10 more minutes before any wait staff brought us menus. from there, another 10 minutes before ordering (it was very slow), and then the tea and pastries came. the tiniest assortment and 1 french press of tea for $45/person. what a major rip off, and the pastries were mediocre at best in taste. the waitress never came back, not even once to offer more tea or anything. poor food, poor service, highly priced ! for $90+ tip we could of had a lunch in the north end and all the cannolis we can stomach! won't be back :(",went afternoon tea pasti sunday call earlier week reserv upon arriv reserv us system wait 5 minut hostess check along 45 empti tabl exist seat good 10 minut wait staff brought us menu anoth 10 minut order slow tea pastri came tiniest assort 1 french press tea 45person major rip pastri mediocr best tast waitress never came back even offer tea anyth poor food poor servic highli price 90 tip could lunch north end cannoli stomach wont back 
5,aglpU--vi76j2r3BEdmolA,kVI7NL59MPnYTx3Lg6PMTw,1,"i went there last night...we were outside on the patio, good view and ambiance, good food but so many rats running around .. after a woman started to scream, i left !! it is not at all acceptable having rats in a dining area!",went last nightw outsid patio good view ambianc good food mani rat run around woman start scream left accept rat dine area
6,uo-O3xXjKWGXB93k7RwBgg,kVI7NL59MPnYTx3Lg6PMTw,4,"i always get a little wary when i see a 2-2.5 star rating for a business.

one stars are usually self-explanatory. it's a terrible establishment. but a 2-2.5 star rating with a varied mix of 1-star and 4- and 5-star reviews hints at more going on. like maybe a business going through a bad period that had previously been good. or vice versa. either way, there's more to the story than just simply being a poor business.

it was with this reasoning that i went to aragosta for restaurant week. i had read the reviews beforehand and prepared myself for the worst. it never came.

the food was exceptionally good, much better than i would have expected. the calamari appetizer was fresh and delicious. it was not fried, which is a welcome change, and the calamari pieces were tender and chewy all at once, served with an olive paste and tomato sauce under a bed of bitter greens. the flavors and textures complemented each other perfectly. the dish felt refreshing and satisfying without being the least bit slimy or rich.

my friend got the fish next and i decided on the chicken. i normally never get chicken as an entree but it came with an exotic mushroom polenta and i figured i had to try that. i also felt the other options were too boring (mostly pastas). the chicken was quite good, if a little dry in parts and the polenta definitely satisfied. there was so much food, i ended up having to take half home.

the olive oil cake was a real winner. i've had olive oil cake before and loved it but my friend had never had it so i was excited for her to try it. just like me, she loved it. the cake was soft, moist and flavorful, perfectly complemented by the light strawberry-flavored ice-cream it was served with. delicious.

for drinks, i had the whiskey cobbler. i normally don't like whiskey as a mixer but they used crown royal and fresh fruit juice and the combination was fantastic. their drinks are pricey, often around $15 a pop for not very unusual creations, so this might not be the place to go for lots of cocktails.

now, i've noticed a lot of the 1-star reviews for aragosta have to do with poor service. obviously, someone in management was paying attention because the service we experienced was excellent. 

there was one bad moment in the beginning of our meal when our waiter decided to explain the menu line by line. as in comment on each dish in the menu, one after another. there were a lot of dishes. i am not a patient person and i hate it when people do things like hand you a piece of paper and make you read it aloud with them, which is what this was like. so i politely cut him off as quickly as i could and told him we'd just be doing the restaurant week menu (which we'd already told him). other than that, though, he was attentive and friendly. the hostess was also very nice and everyone seemed like they genuinely wanted you to be there, which is always a great feeling.

the decor contains the best parts of the previous restaurant sensing, which i had the pleasure of also experiencing. the curtains are still there along with the wide windows, giving the place a breezy, al fresco feel. different parts of the restaurant have different lighting and we were seated in a particularly dim part, between two curtains. very moody and romantic but i must say it was almost a little too dim to read the menu and the curtain next to us did little to protect us from the obnoxiously loud party of 6 drunken women beside us. if you're here on a date night, ask to be seated in a corner, not by a curtain.",alway get littl wari see 225 star rate busi one star usual selfexplanatori terribl establish 225 star rate vari mix 1star 4 5star review hint go like mayb busi go bad period previous good vice versa either way there stori simpli poor busi reason went aragosta restaur week read review beforehand prepar worst never came food except good much better would expect calamari appet fresh delici fri welcom chang calamari piec tender chewi serv oliv past tomato sauc bed bitter green flavor textur complement perfectli dish felt refresh satisfi without least bit slimi rich friend got fish next decid chicken normal never get chicken entre came exot mushroom polenta figur tri also felt option bore mostli pasta chicken quit good littl dri part polenta definit satisfi much food end take half home oliv oil cake real winner ive oliv oil cake love friend never excit tri like love cake soft moist flavor perfectli complement light strawberryflavor icecream serv delici drink whiskey cobbler normal dont like whiskey mixer use crown royal fresh fruit juic combin fantast drink pricey often around 15 pop unusu creation might place go lot cocktail ive notic lot 1star review aragosta poor servic obvious someon manag pay attent servic experienc excel one bad moment begin meal waiter decid explain menu line line comment dish menu one anoth lot dish patient person hate peopl thing like hand piec paper make read aloud like polit cut quickli could told wed restaur week menu wed alreadi told though attent friendli hostess also nice everyon seem like genuin want alway great feel decor contain best part previou restaur sens pleasur also experienc curtain still along wide window give place breezi al fresco feel differ part restaur differ light seat particularli dim part two curtain moodi romant must say almost littl dim read menu curtain next us littl protect us obnoxi loud parti 6 drunken women besid us your date night ask seat corner curtain
7,dncq4ag15doR-G7uDKhaJw,_pqPht0BqDsU3Fcla_s7iw,5,"another one on my fav list and what a better way to start an early sunday morning....having a nice breakfast in this place with a perfect hot cafã© con leche!!
then just a nice and quiet stroll in the park!!
clean and simple decor, the staff is great very friendly. awesome customer service!
i love the pastas, soups and sandwiches but the best of all are my venezuela's treats, cachitos, tequeã±os, empanadas, and for the month of december our traditional pan de jamã³n, so good!!",anoth one fav list better way start earli sunday morninghav nice breakfast place perfect hot cafã con lech nice quiet stroll park clean simpl decor staff great friendli awesom custom servic love pasta soup sandwich best venezuela treat cachito tequeã os empanada month decemb tradit pan de jamã³n good
8,Be-2UIdklRMNMieXoTN8gQ,eLrJdEYwxzJgddnqawDQ1g,4,"pasta vino started out as broadway danny's years and years ago then changed ownership to become a bit more upscale.  the food is usually always good, but the service is usually always mediocre.  regardless of the service, i continue to come back again and again because they make a great pizza (just be sure to ask for it extra thin and extra crispy!) and they have an excellent lasagna.  the meatballs are very good as well.  this is the only  casual italian joint in atlanta that i would recommend!  i always feel like you get your moneys worth here.",pasta vino start broadway danni year year ago chang ownership becom bit upscal food usual alway good servic usual alway mediocr regardless servic continu come back make great pizza sure ask extra thin extra crispi excel lasagna meatbal good well casual italian joint atlanta would recommend alway feel like get money worth
9,yc9uxICf7hb0LPfjQteAIg,eLrJdEYwxzJgddnqawDQ1g,2,"portion size is good and staff is friendly with a cool atmosphere. 
but i ordered a goat cheese pasta dish that was more like milk and nutmeg with little goat cheese flavor. very runny and very nutmeggy. 
i ordered a regular glass of cab and it was terrible and i don't even know much about wine. 

overalls my friend and i had a less than desirable experience despite the lovely atmosphere. i am only writing this because now 2 and a half hours later i am very sick. my stomach is in knots and i feel nauseated. 

if you go sit outside and order a pizza or something",portion size good staff friendli cool atmospher order goat chees pasta dish like milk nutmeg littl goat chees flavor runni nutmeggi order regular glass cab terribl dont even know much wine overal friend less desir experi despit love atmospher write 2 half hour later sick stomach knot feel nauseat go sit outsid order pizza someth
