review_id,business_id,stars,text
z_VY1RNU2nWO6kaAVt28nw,kVI7NL59MPnYTx3Lg6PMTw,4,"Great food. Recommend the grilled shrimp app, white bean soup, Brussels sprouts, risotto, and lamb. Great wine selection and interesting cocktail menu. 

Good service. Friendly hostess and server. Good wine presentation. Nice outdoor seating. 

The fire pits outside are fabulous and offer something different. Call ahead to reserve one. Upscale ambience."
iz89hnkkU5MXSvODiIKiaA,kVI7NL59MPnYTx3Lg6PMTw,4,"There is definitely a wow factor when you enter the restaurant from the hotel.  The dim lighting and decor is very classy and chic.  Despite having a reservation and the restaurant not being very crowded, we had to wait about 10-15 minutes before being seated.  Once seated, the waitstaff was very attentive and friendly.  Our waiter knew the menu well and was able to provide suggestions based on what my friend and I were in the mood for.  Because it was Dine Out Boston, there was a pre-fixe menu to choose courses from for $38, with several items to add for an up-charge.  We started with the tuna tartar, which was nice and fresh, although had a ""different"" flavor to it which I could not pick up on and did not love.  The quail yoke on the tuna tartar was neat, but did not provide much flavor.  We also shared the porcini flatbread, which was thin and crispy with a subtle mushroom flavor-not too overbearing.  I had the scallop entree, which came with four large, nicely seared scallops over mashed cauliflower, with roasted cauliflower, broccoli and golden raisins.  This dish was delicious and not too heavy-the waiter steered me in the right direction!  My friend had the bolognese, which was a mix of veal and oxtail, served over home-made rigatoni.  This was also delicious, with right amount of sauce over the pasta and a nice portion size.  For dessert, we shared the tiramisu with dolce de leche gelato.  It was good- but I was hoping it would be better, seeing we were in the North End.  The bottom layer was overly moist and the top layers were quite dry.  Overall, we had an enjoyable meal.  In the future, I'd like to eat outside as the seating is on the water."
T8vxPxV_0Nvh7T9G7zfE8A,eLrJdEYwxzJgddnqawDQ1g,5,"My boyfriend took me here the last time I was visiting him in the John's Creek area. He told me it was his favorite restaurant, and I can see why! The food was delicious, and the service was wonderful. The prices were reasonable, and comparative to other Italian restaurants. The portions were HUGE! In my opinion - a major plus. I got the ziti, and had enough left over for two more meals. It was the best ziti I've ever had! Highly recommended."
LSvhBCb8q0tytFd1x4eB3A,kVI7NL59MPnYTx3Lg6PMTw,4,"Food was great. 
Service was great. 
Bartender spilled a dark drink on my friends white pants (gasp!) but the manager immediately and without request came over and asked for her info in order to receive her dry cleaning bill.  Super great customer service.  
Though it's expensive you know what you're getting into when you go to the hotel.  I'll go back for sure!"
Kv9VEmLpM285jD8SVVqUPw,kVI7NL59MPnYTx3Lg6PMTw,1,"We went for afternoon tea and pasties on Sunday... We had called earlier that week for reservations. Upon arriving they had no reservations for us in their system. We waited about 5 minutes while the hostess ""was checking""  all along 4-5 empty tables existed. We were seated for a good 10 more minutes before any wait staff brought us menus. From there, another 10 minutes before ordering (it was very slow), and then the tea and pastries came. The tiniest assortment and 1 French press of tea for $45/person. What a major rip off, and the pastries were mediocre at best in taste. The waitress never came back, not even once to offer more tea or anything. Poor food, poor service, highly priced ! For $90+ tip we could of had a lunch in the North End and all the cannolis we can stomach! Won't be back :("
aglpU--vi76j2r3BEdmolA,kVI7NL59MPnYTx3Lg6PMTw,1,"I went there last night...we were outside on the patio, good view and ambiance, good food but so many Rats running around .. after a woman started to scream, I left !! It is not at all acceptable having rats in a dining area!"
uo-O3xXjKWGXB93k7RwBgg,kVI7NL59MPnYTx3Lg6PMTw,4,"I always get a little wary when I see a 2-2.5 star rating for a business.

One stars are usually self-explanatory. It's a terrible establishment. But a 2-2.5 star rating with a varied mix of 1-star and 4- and 5-star reviews hints at more going on. Like maybe a business going through a bad period that had previously been good. Or vice versa. Either way, there's more to the story than just simply being a poor business.

It was with this reasoning that I went to Aragosta for Restaurant Week. I had read the reviews beforehand and prepared myself for the worst. It never came.

The food was exceptionally good, much better than I would have expected. The calamari appetizer was fresh and delicious. It was not fried, which is a welcome change, and the calamari pieces were tender and chewy all at once, served with an olive paste and tomato sauce under a bed of bitter greens. The flavors and textures complemented each other perfectly. The dish felt refreshing and satisfying without being the least bit slimy or rich.

My friend got the fish next and I decided on the chicken. I normally never get chicken as an entree but it came with an exotic mushroom polenta and I figured I had to try that. I also felt the other options were too boring (mostly pastas). The chicken was quite good, if a little dry in parts and the polenta definitely satisfied. There was so much food, I ended up having to take half home.

The olive oil cake was a real winner. I've had olive oil cake before and loved it but my friend had never had it so I was excited for her to try it. Just like me, she loved it. The cake was soft, moist and flavorful, perfectly complemented by the light strawberry-flavored ice-cream it was served with. Delicious.

For drinks, I had the Whiskey Cobbler. I normally don't like whiskey as a mixer but they used Crown Royal and fresh fruit juice and the combination was fantastic. Their drinks are pricey, often around $15 a pop for not very unusual creations, so this might not be the place to go for lots of cocktails.

Now, I've noticed a lot of the 1-star reviews for Aragosta have to do with poor service. Obviously, someone in management was paying attention because the service we experienced was excellent. 

There was one bad moment in the beginning of our meal when our waiter decided to explain the menu line by line. As in comment on each dish in the menu, one after another. There were a lot of dishes. I am not a patient person and I hate it when people do things like hand you a piece of paper and make you read it aloud with them, which is what this was like. So I politely cut him off as quickly as I could and told him we'd just be doing the Restaurant Week menu (which we'd already told him). Other than that, though, he was attentive and friendly. The hostess was also very nice and everyone seemed like they genuinely wanted you to be there, which is always a great feeling.

The decor contains the best parts of the previous restaurant Sensing, which I had the pleasure of also experiencing. The curtains are still there along with the wide windows, giving the place a breezy, al fresco feel. Different parts of the restaurant have different lighting and we were seated in a particularly dim part, between two curtains. Very moody and romantic but I must say it was almost a little too dim to read the menu and the curtain next to us did little to protect us from the obnoxiously loud party of 6 drunken women beside us. If you're here on a date night, ask to be seated in a corner, NOT by a curtain."
dncq4ag15doR-G7uDKhaJw,_pqPht0BqDsU3Fcla_s7iw,5,"Another one on my fav list and what a better way to start an early Sunday morning....having a nice breakfast in this place with a perfect hot café con leche!!
Then just a nice and quiet stroll in the park!!
Clean and simple decor, the staff is great very friendly. Awesome customer service!
I love the pastas, soups and sandwiches but the best of all are my venezuela's treats, cachitos, tequeños, empanadas, and for the month of December our traditional Pan de jamón, so good!!"
Be-2UIdklRMNMieXoTN8gQ,eLrJdEYwxzJgddnqawDQ1g,4,"Pasta Vino started out as Broadway Danny's years and years ago then changed ownership to become a bit more upscale.  The food is usually always good, but the service is usually always mediocre.  Regardless of the service, I continue to come back again and again because they make a great pizza (just be sure to ask for it extra thin and extra crispy!) and they have an excellent lasagna.  The meatballs are very good as well.  This is the only  casual Italian joint in Atlanta that I would recommend!  I always feel like you get your moneys worth here."
yc9uxICf7hb0LPfjQteAIg,eLrJdEYwxzJgddnqawDQ1g,2,"Portion size is good and staff is friendly with a cool atmosphere. 
BUT I ordered a goat cheese pasta dish that was more like milk and nutmeg with little goat cheese flavor. Very runny and very nutmeggy. 
I ordered a regular glass of cab and it was terrible and I don't even know much about wine. 

Overalls my friend and I had a less than desirable experience despite the lovely atmosphere. I am only writing this because now 2 and a half hours later I am VERY SICK. My stomach is in knots and I feel nauseated. 

If you go sit outside and order a pizza or something"
